Origin,Group,SerumLevel,SerumSD,n,min,max
Hadzabe,Male,106.3,29.2,21,70.9,171.1
Hadzabe,Female,123.8,18,4,104.1,143
Maasai,Male,120.9,24,15,67.3,158
Maasai,Female,118.3,27.4,20,57.5,167.4
Serengema,Female,89,22.8,28,31.1,130.9
Maasai,Pregnant,147.7,35,30,65.4,218.1
Serengema,Pregnant,141.9,35.2,78,76.3,262.4
Same,Pregnant,120.7,28.5,30,45.6,168.1
