,SerumLevel,SerumSD,n
Asian/PI,19.66428571,8.871354692,14
Black,17.7125,8.437546235,304
Hispanic,27.45138889,9.422807109,72
Other/Multiple/Unk,25.58358209,10.15513897,67
White,29.28094262,9.630038644,488
